__table__,Outlet ID,Outlet Name,KA Manager,Employee ID,Segment,Is Active,Has Fridge,Has Draught,Draught Installed,__empty__,Date,SKU,Sales Unit,Actual Volume,Category,Raw Actual Volume,Crate Equivalent Factor,Target Date,Target Month,Full Month Target,Raw Full Month Target,Target Crate Equivalent Factor,Source Employee ID,Target Owner Mapping,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Is Working Day,KPI,Weight,Included Final,Key,Value
outlets,1066344,meskot bar&restaurant,London,2526,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1894823,olive&bread Hotel,London,2526,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1005033,yerga Butchery,London,2526,Restaurant,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1564078,Agye bar and Restaurant,Netsanet,215,Restaurant,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1001071,Antica Bar and Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1000760,Avanti Bar and Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2956808,Avocado Luxury Spa,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1235789,Bwon korea resturant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2956112,china restsurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1896552,china restsurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024822,China Town Bar and Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2946676,Craving restaurant,Netsanet,215,Restaurant,True,False,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1919290,Entoto Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2174101,Gangam korea restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1016883,Gize bar,Netsanet,215,Restaurant,True,True,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1631723,Hotto Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1004020,Kategna Bar and Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2574527,Kategna Bar and Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1214967,Konark Indian Hotel,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2027299,La Basilc hotel,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1055871,Natani,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2930700,Radha`s indian Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1233300,Red Dragon china restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1024681,Sakura Japanese Restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,2961317,Savor café,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1211178,Shan Tou Special chinesee,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1048146,Shi jia zhuang restaurant,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1561365,Tamem bar,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1130364,the address bar,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1204750,Tiru Kitfo Bet,Netsanet,215,Restaurant,True,True,True,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1130916,Union by Lucy,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
outlets,1233331,yjet Kitfo,Netsanet,215,Restaurant,True,False,False,No,,,,,,,,,,,,,,,,,,,,,,,,,,
