Date,Outlet ID,Planned Visits,Actual Visits,JP Good Visits,Visit Completion,JP Adherence,Outlet Name,KA Manager,Segment
2026-06-03,1012278,1.0,0.0,0.0,0.0,,Kings Hotel,Chandra,Unspecified
2026-06-03,1017208,1.0,0.0,0.0,0.0,,Nathional thaiter,Chandra,Unspecified
2026-06-03,1017707,1.0,0.0,0.0,0.0,,Mekonenoch recreational center,Chandra,Unspecified
2026-06-03,1017885,1.0,0.0,0.0,0.0,,Sarim Hotel,Chandra,Unspecified
2026-06-03,1024221,1.0,0.0,0.0,0.0,,Ghion Hotel,Chandra,Unspecified
2026-06-03,1024290,1.0,0.0,0.0,0.0,,Ethiopia Hotel,Chandra,Unspecified
2026-06-03,1024369,1.0,0.0,0.0,0.0,,Embilta Hotel,Chandra,Unspecified
2026-06-03,1024557,1.0,0.0,0.0,0.0,,Canvas Lounge,Chandra,Unspecified
2026-06-03,1026662,1.0,0.0,0.0,0.0,,Filwuha Hotel,Chandra,Unspecified
2026-06-03,1046406,1.0,0.0,0.0,0.0,,Venetian Hotel,Netsanet,Unspecified
2026-06-03,1046424,1.0,1.0,1.0,1.0,1.0,Sun City  Supermarket,Netsanet,Unspecified
2026-06-03,1057503,1.0,1.0,1.0,1.0,1.0,Best Western Plus Addis Ababa Hotel,Netsanet,Unspecified
2026-06-03,1063353,1.0,0.0,0.0,0.0,,L and Z China  Hotel,Alemayehu,Unspecified
2026-06-03,1214332,1.0,0.0,0.0,0.0,,Rebka butchery,Alemayehu,Unspecified
2026-06-03,1233300,0.0,1.0,0.0,,0.0,Red Dragon china restaurant,Netsanet,Unspecified
2026-06-03,1571675,1.0,1.0,1.0,1.0,1.0,Cassiopia Hotel,Netsanet,Unspecified
2026-06-03,1571808,1.0,0.0,0.0,0.0,,Seven Hotel,Alemayehu,Unspecified
2026-06-03,16827727,1.0,0.0,0.0,0.0,,Kot Hotel,Alemayehu,Unspecified
2026-06-03,2336521,1.0,0.0,0.0,0.0,,Mereb Butchery,Alemayehu,Unspecified
2026-06-03,2722948,1.0,0.0,0.0,0.0,,Yared Kurt,Alemayehu,Unspecified
2026-06-03,2789793,1.0,0.0,0.0,0.0,,Mekelite Kurt,Alemayehu,Unspecified
2026-06-03,2808896,1.0,0.0,0.0,0.0,,Central butchery,Alemayehu,Unspecified
2026-06-03,2848593,1.0,0.0,0.0,0.0,,Habesha butchery,Alemayehu,Unspecified
2026-06-03,2957288,0.0,1.0,0.0,,0.0,Cheru Medanialem,Netsanet,Unspecified
2026-06-04,1000112,1.0,1.0,1.0,1.0,1.0,Zegelila Restaurant,Alemayehu,Unspecified
2026-06-04,1001463,1.0,1.0,1.0,1.0,1.0,Grand Mark Addis,Alemayehu,Unspecified
2026-06-04,1003431,1.0,0.0,0.0,0.0,,Benazo Lounge,Chandra,Unspecified
2026-06-04,1003432,1.0,0.0,0.0,0.0,,Zemen Lounge,Chandra,Unspecified
2026-06-04,1004020,1.0,1.0,1.0,1.0,1.0,Kategna Bar and Restaurant,Netsanet,Unspecified
2026-06-04,1004044,1.0,1.0,1.0,1.0,1.0,Desalech Kitfo bet,Netsanet,Unspecified
2026-06-04,1009720,1.0,1.0,1.0,1.0,1.0,Sol Dallas,Alemayehu,Unspecified
2026-06-04,1010501,1.0,1.0,1.0,1.0,1.0,Feke Kunspagna,Alemayehu,Unspecified
2026-06-04,1011506,1.0,0.0,0.0,0.0,,Mena Hotel,Chandra,Unspecified
2026-06-04,1011907,1.0,1.0,1.0,1.0,1.0,Friendship Supermarket,Netsanet,Unspecified
2026-06-04,1014751,1.0,1.0,1.0,1.0,1.0,Dawit Brundo,Alemayehu,Unspecified
2026-06-04,1016941,1.0,1.0,1.0,1.0,1.0,Hammer lounge,Alemayehu,Unspecified
2026-06-04,1024795,1.0,1.0,1.0,1.0,1.0,men yitebes,Netsanet,Unspecified
2026-06-04,1024855,1.0,0.0,0.0,0.0,,Habesha butchery,Netsanet,Unspecified
2026-06-04,1025643,1.0,1.0,1.0,1.0,1.0,Lalibela Hotel,Netsanet,Unspecified
